id,nama,alamat,cluster,mitra_ad_cluster,region_channel,provinsi,kabupaten,kecamatan,kelurahan,kode_pos,call_center,email,longitude,latitude,created_at,updated-at
,TDC RANTAU PRAPAT,Jl. SM Raja Simpang Mangga No. 125 -126,SIDEMPUAN,PT. MEDIA SWARA PRIMA,SUMBAGUT,SUMATRA UTARA,LABUHAN BATU,RANTAU SELATAN,BAKARAN BARU,21412,85276412221,sevenkozi83@yahoo.com,99.848449,2.0877832,,
,POD SOSA,Jl. Lintas Sosa - Riau Pasar Ujung Batu,SIDEMPUAN,PT. MEDIA SWARA PRIMA,SUMBAGUT,SUMATRA UTARA,PADANG LAWAS,SOSA,SOSA,22765,85276412221,rinaldihsb@yahoo.co.id,99.889123,1.6374416,,
,TDC KOTA PINANG ,Jl. Bukit Kota Pinang (Depan Bank SUMUT),SIDEMPUAN,PT. MEDIA SWARA PRIMA,SUMBAGUT,SUMATRA UTARA,LABUHAN BATU SELATAN,KOTA PINANG ,KOTA PINANG,21464,85276412221,rizkisiswanto@gmail.com,100.05,1.891366,,
,POD CIKAMPAK,Jl. Besar Cikampak (Samping Gg Vihara),SIDEMPUAN,PT. MEDIA SWARA PRIMA,SUMBAGUT,SUMATRA UTARA,LABUHAN BATU SELATAN,TORGAMBA,AEK BATU,21464,85276412221,bastianholy06@gmail.com,100.206543,1.787564,,
,POD LANGGA PAYUNG,Jl. Lintas Langga Payung - Gunung Tua,SIDEMPUAN,PT. MEDIA SWARA PRIMA,SUMBAGUT,SUMATRA UTARA,LABUHAN BATU SELATAN,SUNGAI KANAN,LANGGA PAYUNG,21465,85276412221,Fikriferiandi26@gmail.com,99.954963,1.722613,,
,TAP AEK KANOPAN,JL. MAYOR M.SIDDIK KELURAHAN AEK KANOPAN,ASAHAN,PT. GRAHA INFORMATIKA NUSANTARA,SUMBAGUT,SUMATERA UTARA,LABUHAN BATU UTARA,KUALUH HULU,AEK KANOPAN,21457,8118817342,syahrial_manurung@gratika.co.id,99.649875,2.5670704,,
,TAP AJAMU,JL. LINTAS TANJUNG SARANG ELANG,ASAHAN,PT. GRAHA INFORMATIKA NUSANTARA,SUMBAGUT,SUMATERA UTARA,LABUHAN BATU,PANAI HULU,TANJUNG SARANG ELANG,21472,81396305333,hermansyahtdc@gmail.com,100.13257,2.4804994,,
,TAP BATUBARA,JL. MERDEKA KELURAHAN IDRAYAMAN,ASAHAN,PT. GRAHA INFORMATIKA NUSANTARA,SUMBAGUT,SUMATERA UTARA,BATU BARA,TALAWI,INDRAYAMAN,21253,85360765444,jenny.rahman1310@gmail.com,99.577522,3.2178904,,
,TAP KISARAN,JL. HOS.COKRO AMINOTO KISARAN BARAT NO 282,ASAHAN,PT. GRAHA INFORMATIKA NUSANTARA,SUMBAGUT,SUMATERA UTARA,ASAHAN,KISARAN BARAT,KISARAN BARU,21226,82166145678,surya_lbs07@yahoo.co.id,99.616694,2.9859276,,
,TAP KUALUH LEIDONG,JL. H. IWAN MAKSUM TANJUNG LEIDONG,ASAHAN,PT. GRAHA INFORMATIKA NUSANTARA,SUMBAGUT,SUMATERA UTARA,LABUHAN BATU UTARA,KUALUH LEIDONG,TANJUNG LEIDONG,21475,8118817363,rinaldimargolang@yahoo.com,99.978242,2.7524731,,
,TAP SEI PIRING,JL. SUMATERA SIMPANG MAK INANG,ASAHAN,PT. GRAHA INFORMATIKA NUSANTARA,SUMBAGUT,SUMATERA UTARA,ASAHAN,PULAU RAKYAT ,PULAU RAKYAT ,21273,85360764777,sriwahyudi508@gmail.com,99.619842,2.7103214,,
,TAP TANJUNGBALAI,JL. TEUKU UMAR NO.120,ASAHAN,PT. GRAHA INFORMATIKA NUSANTARA,SUMBAGUT,SUMATERA UTARA,TANJUNG BALAI ,TG.BALAI SELATAN,TB.KOTA 2,21316,85370467999,ahmadfauzi.str@gmail.com,99.80225,2.962325,,
,TDC MEULABOH,Jl. Manek Roo Kel. Ujong Baroh Kec. Johan Pahalwan Kab. Aceh Barat,MEULABOH,PT. CATALIST INTEGRA PRIMA SUKSES,SUMBAGUT,ACEH,ACEH BARAT,JOHAN PAHLAWAN,UJONG BAROH,23618,85260113333,abdee.cus@gmail.com,96.125192,4.1516767,,
,TDC NAGAN RAYA,"Jl. Meulaboh - Tapak Tuan, Kel. Ujung Patihah Kab. Nagan Raya",MEULABOH,PT. CATALIST INTEGRA PRIMA SUKSES,SUMBAGUT,ACEH,NAGAN RAYA,KUALA,UJUNG PATIHAH,23661,82360317878,hatta.cus.mbo@gmail.com,96.318453,4.1273594,,
,TDC BLANG PIDIE,"Jl. Meulaboh - Tapak Tuan, Kel. Keudee Siblah, Kab. Blang Pidie",MEULABOH,PT. CATALIST INTEGRA PRIMA SUKSES,SUMBAGUT,ACEH,ACEH BARAT DAYA,BLANG PIDIE,KEUDEE SIBLAH,23764,85262029090,lenardi.catalist@gmail.com,96.829723,3.7341536,,
,TDC TAPAKTUAN,"Jl. T. Ben Mahmut, Kel. Hilir, Kec. Tapak Tuan  Kab. Aceh Selatan",MEULABOH,PT. CATALIST INTEGRA PRIMA SUKSES,SUMBAGUT,ACEH,ACEH SELATAN,TAPAKTUAN,HILIR,23717,82364560000,eka.saldas@gmail.com,97.175324,3.253207,,
,TDC SIMEULUE,"Jl. Teuku Diujung, Kel. Ameria Bahagia, Kec. Simeulue Timur, Kab. Simeulue",MEULABOH,PT. CATALIST INTEGRA PRIMA SUKSES,SUMBAGUT,ACEH,SIMEULUE,SIMEULUE TIMUR,AMERIA BAHAGIA,23891,85207788234,zulfikar.cus@gmail.com,96.380755,2.4653361,,
,TDC SINGKIL,"Jl. Iskandar Muda, Pasar Terpadu Rimo, Kec. Gunung Meriah, Kab. Aceh Singkil",MEULABOH,PT. CATALIST INTEGRA PRIMA SUKSES,SUMBAGUT,ACEH,ACEH SINGKIL,GUNUNG MERIAH,RIMO,24784,85262202200,mohrizkycatalist@gmail.com,97.964843,2.3993536,,
,TDC SUBULUSSALAM,"Jl. T. Umar, Kec. Penanggalan, Kab. Subusalam",MEULABOH,PT. CATALIST INTEGRA PRIMA SUKSES,SUMBAGUT,ACEH,KOTA SUBULUSSALAM,PENANGGALAN,PENANGGALAN,24780,81375909098,budi.pranata@catalist.co.id,98.015455,2.6349702,,
,TDC CALANG,"Jl.Teuku Umar, Kel. Sentosa, Kec. Krueng Sabee, Kab. Aceh Jaya",MEULABOH,PT. CATALIST INTEGRA PRIMA SUKSES,SUMBAGUT,ACEH,ACEH JAYA,SENTOSA,KOTA CALANG,23652,82360867073,arisma.catalist@gmail.com,95.581887,4.6341661,,
,TAP Binjai,Jl.Perintis Kemerdekaan No.20 A/B,Langkat,KOPERASI TELEKOMUNIKASI SELULAR,Sumbagut,Sumatera Utara,Kota Binjai,Binjai Utara,Pahlawan,20743,82367668888,nanda.lomoet@yahoo.co.id,98.495051,3.6095586,,
,TAP Stabat,Jl. Jendral Sudirman No.08,Langkat,KOPERASI TELEKOMUNIKASI SELULAR,Sumbagut,Sumatera Utara,Kabupaten Langkat,Stabat,Perdamaian,20815,82367668888,nazri_bbara@yahoo.co.id,98.460208,3.7507797,,
,TAP Tanjung Pura,Jln.T.Amir Hamzah,Langkat,KOPERASI TELEKOMUNIKASI SELULAR,Sumbagut,Sumatera Utara,Kabupaten Langkat,Tanjung Pura,Pekan Tanjung Pura,20853,82367668888,denny_alvarez18@yahoo.com,98.426034,3.895764,,
,TAP Kuala,Jln.. Binjai - Kuala dusun V Bela Rakyat,Langkat,KOPERASI TELEKOMUNIKASI SELULAR,Sumbagut,Sumatera Utara,Kabupaten Langkat,Kuala,Pekan Kuala,20772,82367668888,andriehabizah02@gmail.com,98.397792,3.5284553,,
,TAP Sunggal,"Jl. Medan - Binjai km 13,5",Langkat,KOPERASI TELEKOMUNIKASI SELULAR,Sumbagut,Sumatera Utara,Kabupaten Deli Serdang,Sunggal,Mulyorejo,20351,82367668888,ekosusandi_262@yahoo.co.id,98.562005,3.5996799,,
,TAP Hamparan Perak,Dusun I Pasar V,Langkat,KOPERASI TELEKOMUNIKASI SELULAR,Sumbagut,Sumatera Utara,Kabupaten Deli Serdang,Hamparan Perak,Klambir Lima Kebun,20374,82367668888,indrabrasco10@gmail.com,98.592521,3.6574241,,
,TAP SIBOLGA,JL SISINGAMANGARAJA NO. 178 ,TAPANULI,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGUT,SUMATERA UTARA,SIBOLGA,SIBOLGA SELATAN,AEK MANIS,22536,82165622222,ts.sibolga@gmail.com ,98.792243,1.7320773,,
,TAP TARUTUNG,JL DI PANJAITAN NO.143 ,TAPANULI,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGUT,SUMATERA UTARA,TAPANULI UTARA,TARUTUNG,HUTATORUAN VII,22413,82163696666,ts.tarutung@gmail.com ,98.969909,2.0235668,,
,TAP BARUS,JL HAMZAH AL FANSURI (DEPAN STKIP) ,TAPANULI,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGUT,SUMATERA UTARA,TAPANULI TENGAH,BARUS,PADANG MASIANG,22564,81269535335,ts.barus2017@gmail.com,98.399778,2.0143883,,
,TAP PINANG SORI,JL PADANG SIDEMPUAN SIMP. ASRAMA HAJI ,TAPANULI,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGUT,SUMATERA UTARA,TAPANULI TENGAH,PINANG SORI,SITONONG BANGUN,22653,82168970123,ts.pinangsori@gmail.com ,98.894356,1.5841271,,
,TAP PAHAE,JL SISINGAMANGARAJA NO.87 ,TAPANULI,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGUT,SUMATERA UTARA,TAPANULI UTARA,PAHAE,PASAR SARULLA,22463,81262444499,ts.pahae@gmail.com ,99.113808,1.7851498,,
,TAP GUNUNG SITOLI,JL DIPONEGORO NO. 369 ,TAPANULI,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGUT,SUMATERA UTARA,GUNUNG SITOLI,GUNUNG SITOLI,SIFALAETE TABALOHO,22810,85275380123,ts.gunungsitoli@gmail.com,97.632542,1.2720951,,
,TAP MANDREHE,DESA TETEHESI ,TAPANULI,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGUT,SUMATERA UTARA,NIAS BARAT,MANDREHE,TETEHESI,22862,85359460007,ts.mandrehenisbar@gmail.com,97.486659,1.0449918,,
,TAP LOTU,JL GUNUNGSITOLI KM. 42 ,TAPANULI,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGUT,SUMATERA UTARA,NIAS UTARA,LOTU,LOTU,22851,82165390888,ts.tdclotu@gmail.com,97.358977,1.388264,,
,TAP TELUK DALAM,JL IMAM BONJOL,TAPANULI,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGUT,SUMATERA UTARA,NIAS SELATAN,TELUK DALAM,PASAR TELUK DALAM,22865,85277664111,ts.telukdalam@gmail.com ,97.819949,0.563658,,
,POD PANGARIBUAN,DESA PAKPAHAN,TAPANULI,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGUT,SUMATERA UTARA,TAPANULI UTARA,PANGARIBUAN,DESA PAKPAHAN,22472,81360482520,podpangaribuan96@gmail.com,99.164232,2.0080938,,
,POD IDANOGAWO,PASAR IDANOGAWO ,TAPANULI,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGUT,SUMATERA UTARA,NIAS,IDANOGAWO,TETEHOSI,22871,85358741222,Ts.idanogawo@gmail.com,97.772435,1.0266369,,
,TAP SIBORONG-BORONG,JL. TARUTUNG,TAPANULI,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGUT,SUMATERA UTARA,TAPANULI UTARA,SIBORONG-BORONG,PASAR SIBORONG-BORONG,22474,81265797965,tssiborongborong@gmail.com,98.971022,2.2089444,,
,TDC TANJUNG MORAWA,"JL. BATANG KUIS, BANGUN SARI, TJ. MORAWA, DELI SERDANG 20362",SERDANG,CV. AKAR DAYA MANDIRI,SUMBAGUT,SUMATERA UTARA,DELI SERDANG,Batang Kuis,Telaga Sari,20362,82372327232,budinasution_adm78@yahoo.com,98.790749,3.5604303,,
,TDC PERBAUNGAN,"JL. SERDANG KOTA GALUH, PERBAUNGAN, SERDANG BEDAGAI 20986",SERDANG,CV. AKAR DAYA MANDIRI,SUMBAGUT,SUMATERA UTARA,SERDANG BEDAGAI,Perbaungan,Kota Galuh,20986,85207720002,mhdfaisalsipahutar@gmail.com,98.962373,3.5674509,,
,TDC LUBUK PAKAM,"JL. BAKARAN BATU KM.3, DESA TUMPATAN, LUBUK PAKAM, KAB DELI SERDANG 20517",SERDANG,CV. AKAR DAYA MANDIRI,SUMBAGUT,SUMATERA UTARA,DELI SERDANG,Beringin,Tumpatan,20552,82160859005,satria2828@gmail.com,98.863537,3.5798184,,
,TDC PERCUT,KOMPLEK MMTC NO P.12 KEC.MEDAN TEMBUNG ,SERDANG,CV. AKAR DAYA MANDIRI,SUMBAGUT,SUMATERA UTARA,KOTA MEDAN,Medan Tembung,Sidorejo,20222,82166480480,morang.8383@gmail.com,98.709211,3.60357,,
,TDC GALANG,"JL. PERINTIS KEMERDEKAAN DESA GALANG KOTA, GALANG, DELI SERDANG 20585",SERDANG,CV. AKAR DAYA MANDIRI,SUMBAGUT,SUMATERA UTARA,DELI SERDANG,Galang,Galang Kota,20585,85270256665,Mariomarandika@yahoo.co.id,98.901831,3.4282546,,
,Balige,Jl.Sm Raja,Siantar,PT. WAHANA PUTRA YUDHA,Sumbagut,Sumatera Utara,Toba Samosir,Balige,Balige 1,22316,82162839290,christianfebi31@gmail.com,99.061424,2.3297925,,
,Doloksanggul,"Jl.Merdeka,pasaribu",Siantar,PT. WAHANA PUTRA YUDHA,Sumbagut,Sumatera Utara,Humbang Hasundutan,Dolok Sanggul,Pasaribu,22457,82276838485,pebrilumbangaol89@gmail.com,98.758341,2.262564,,
,Indrapura,Jl.Jendrl Sudirman ,Siantar,PT. WAHANA PUTRA YUDHA,Sumbagut,Sumatera Utara,Batu Bara,Sei Suka,Indrapura,21256,81260527484,andrefranky92@gmail.com,99.367159,3.2893452,,
,Parapat,Jl. Joseph Sinaga,Siantar,PT. WAHANA PUTRA YUDHA,Sumbagut,Sumatera Utara,Simalungun,Girsang Sipangan Bolon,Parapat,21174,82367371915,dheanunedo23@gmail.com,98.943288,2.6662191,,
,Pematangsiantar,Jl. Ahmad Yani No 202 G-H,Siantar,PT. WAHANA PUTRA YUDHA,Sumbagut,Sumatera Utara,Pematang Siantar,Siantar Timur,Asuhan,21143,82167167777,ibnu.hanafiah@yahoo.com,99.076276,2.9679387,,
,Perdagangan,Jl. Merdeka Perdagangan,Siantar,PT. WAHANA PUTRA YUDHA,Sumbagut,Sumatera Utara,Simalungun,Bandar,Perdagangan,21184,85372552815,eddyvilla38@gmail.com,99.325077,3.1601723,,
,Raya,jl.sutomo griya hapoltakan no 09 pematang raya,Siantar,PT. WAHANA PUTRA YUDHA,Sumbagut,Sumatera Utara,Simalungun,Pematang raya,Sondi raya,21162,81265856585,Davidnainggolan615@gmail.com,98.863879,29653698,,
,Samosir,Jl.Nahum Situmorang,Siantar,PT. WAHANA PUTRA YUDHA,Sumbagut,Sumatera Utara,Samosir,Pangunguran,Pardomuan 1,22392,82164738423,Yosafatsitanggang47@gmail.com,98.703325,2.6010094,,
,Sei Rampah,Jl. Jend. Sudirman KM 60 Sei Rampah,Siantar,PT. WAHANA PUTRA YUDHA,Sumbagut,Sumatera Utara,Serdang Bedagai,Sei Rampah,Sei Rampah,20695,85275878888,rizanavia@rocketmail.com,99.136787,3.4849199,,
,Serbelawan,JL.Merdeka no.39 serbelawan,Siantar,PT. WAHANA PUTRA YUDHA,Sumbagut,Sumatera Utara,Simalungun,Dolok Batu Nanggar,Serbelawan,21155,82370701070,chairuddin0581@gmail.com,99.147102,3.125913,,
,Tebing Tinggi,Jl. Ahmad Yani No.103 Tebing Tinggi,Siantar,PT. WAHANA PUTRA YUDHA,Sumbagut,Sumatera Utara,Kota Tebing tinggi,Tebing tinggi Kota,Pasar Baru,20627,85372911166,maz_eric@rocketmail.com,99.157896,3.3282983,,
,LANGSA,Jl.A.Yani No.108 Kampung Jawa Depan Langsa Kota,TAMIANG,PT. GOLDEN COMMUNICATION,SUMBAGUT,ACEH,LANGSA,LANGSA KOTA,GAMPONG JAWA,24414,81269632632,muhagus.golden@gmail.com & gm.cluster.tamiang@gmail.com,97.959799,4.4750203,,
,KUALA SIMPANG ,Jl. Rantau No.56 Desa Bukit Tempurung Kec.  Kuala Simpang Kab. Aceh Tamiang,TAMIANG,PT. GOLDEN COMMUNICATION,SUMBAGUT,ACEH,ACEH TAMIANG,KUALA SIMPANG,BUKIT TEMPURUNG,24475,82367838383,hamdani_mkios@yahoo.co.id,98.062162,4.285086,,
,PERLAK ,Jl. Medan-Banda Aceh Gp Lhok Perlak Kab Aceh Timur,TAMIANG,PT. GOLDEN COMMUNICATION,SUMBAGUT,ACEH,ACEH TIMUR,PERLAK KOTA,LHOKDALAM ,24453,82361454474,wahhyoedi@gmail.com,97.891432,4.8062114,,
,IDI RAYEUK,"Jl. Medan - Banda Aceh, Desa Gampong Jawa Kec Idi Rayeuk Kab. Aceh Timur ",TAMIANG,PT. GOLDEN COMMUNICATION,SUMBAGUT,ACEH,ACEH TIMUR,IDI RAYEUK,TANAH ANOE,24454,82364112222,wahyu.amril@yahoo.co.id,97.773547,4.9478848,,
,LHOKSUKON,Jl Medan Banda Aceh Samping pegadaian syariah Desa Dayah Lhoksukon,TAMIANG,PT. GOLDEN COMMUNICATION,SUMBAGUT,ACEH,ACEH UTARA,LHOKSUKON ,KOTA LHOKSUKON ,24382,82366626662,muklis_golden@yahoo.com,97.318475,5.0417059,,
,BABALAN ,Jln sutomo simpang jln jawa no.154 kelurahan brandan timur baru babalan.,TAMIANG,PT. GOLDEN COMMUNICATION,SUMBAGUT,SUMUT ,LANGKAT ,BABALAN ,BRANDAN TIMUR,20857,82163651702,taufikmahkota1@gmail.com,98.218679,4.1127236,,
,KABANJAHE,JL. VETERAN NO.25 B-C,SIANTAR,PT. WAHANA PUTRA YUDHA,SUMBAGUT,SUMATERA UTARA,KARO,KABANJAHE,KAMPUNG DALAM,22113,82275357535,nh.nanang.harianja@gmail.com,98.489849,3.1036863,,
,PANCUR BATU,JL. JAMIN GINTING NO.153,SIANTAR,PT. WAHANA PUTRA YUDHA,SUMBAGUT,SUMATERA UTARA,DELI SERDANG,PANCUR BATU,DESA BARU,20353,81375202888,salim_mdx@yahoo.com,98.597563,3.4842678,,
,DAIRI,JL. SITELU NEMPU NO. 10,SIANTAR,PT. WAHANA PUTRA YUDHA,SUMBAGUT,SUMATERA UTARA,DAIRI,SIDIKALANG,SIDIKALANG,22211,82272778800,victorpanggabean515@gmail.com,98.308761,2.7529907,,
,KUTACANE,JL. AHMAD YANI NO.6,SIANTAR,PT. WAHANA PUTRA YUDHA,SUMBAGUT,SUMATERA UTARA,ACEH TENGGARA,BABUSSALAM,KOTA KUTACANE,24651,81364337773,dony_panjaitan@yahoo.com,97.810621,3.4887069,,
,BLANGKEJEREN,JL. KUTAPANJANG BLOWER,SIANTAR,PT. WAHANA PUTRA YUDHA,SUMBAGUT,SUMATERA UTARA,GAYO LUES,BLANGKEJEREN,KOTA BLANGKEJEREN,24655,85361212008,karisman.szf@gmail.com,97.339093,3.9963703,,
,PAKPAK BHARAT,JL. BANUREA,SIANTAR,PT. WAHANA PUTRA YUDHA,SUMBAGUT,SUMATERA UTARA,PAKPAK BHARAT,SALAK 1,DESA BOANG MANALU,22277,81260331133,antho.solin@gmail.com,98.32489,2.55682,,
,BANDAR BARU,JL. JAMIN GINTING NO.45,SIANTAR,PT. WAHANA PUTRA YUDHA,SUMBAGUT,SUMATERA UTARA,DELI SERDANG,SIBOLANGIT,DESA SUKA MAKMUR,20357,82391777776,gibsonazulgrana@yahoo.com,98.556331,3.2827782,,
,"Banuhampu,Kab. Agam",Jl. Bukittinggi-Padang KM.4 Obay Padang Luar kecamatan Banuhampu,BUKIT TINGGI,PT. SUMATERA INTI SELULER,SUMBAGTENG ,SUMATERA BARAT,"Banuhampu,Kab. Agam",,,,82169998080,pipin.telesindo@gmail.com,100.381198,-0.334416,,
,Kota Payakumbuh,"Jl. Soekarno Hatta No77E, Kel. Balai Nan Duo, Kec. Payakumbuh Barat",BUKIT TINGGI,PT. SUMATERA INTI SELULER,SUMBAGTENG ,SUMATERA BARAT,Kota Payakumbuh,,,,82169998080,pipin.telesindo@gmail.com,100.61935,-0.234476,,
,"Simpang Empat, Pasaman Barat","Jl. Lintas Simpang empat- Manggopoh KM1, Lingkuang Aua, Kec. Pasaman",BUKIT TINGGI,PT. SUMATERA INTI SELULER,SUMBAGTENG ,SUMATERA BARAT,"Simpang Empat, Pasaman Barat",,,,82169998080,pipin.telesindo@gmail.com,99.8259125,0.0901186,,
,"Lubuk Basung , Kab .Agam","Jl. Veteran ,Padang Baru, Kec. Lubuk Basung",BUKIT TINGGI,PT. SUMATERA INTI SELULER,SUMBAGTENG ,SUMATERA BARAT,"Lubuk Basung , Kab .Agam",,,,82169998080,pipin.telesindo@gmail.com,100.03434,-0.3139661,,
,"Lubuk Sikaping, Pasaman",Jl. Sudirman No.109 Kel. Pauh Kec. Lubuk Sikaping ,BUKIT TINGGI,PT. SUMATERA INTI SELULER,SUMBAGTENG ,SUMATERA BARAT,"Lubuk Sikaping, Pasaman",,,,82169998080,pipin.telesindo@gmail.com,100.0242817,0.0192307,,
,"Ujung Gading , Pasaman barat","Jl. Flores, Nagari. Kuamang, kec. Lembah Melintang",BUKIT TINGGI,PT. SUMATERA INTI SELULER,SUMBAGTENG ,SUMATERA BARAT,"Ujung Gading , Pasaman barat",,,,82169998080,pipin.telesindo@gmail.com,99.550513,0.276065,,
,"Pangkalan, Kab. 50 Kota","Jl. Lintas Sumbar- Riau, Pasar Pangkalan, Nag. Pagkalan Koto Baru",BUKIT TINGGI,PT. SUMATERA INTI SELULER,SUMBAGTENG ,SUMATERA BARAT,"Pangkalan, Kab. 50 Kota",,,,82169998080,pipin.telesindo@gmail.com,100.724809,0.08461,,
,"Batusangkar, Kab. Tanah Datar",Jl. Sudirman Kel. Lima Kaum. Kec. Limakaum Batusangkar,BUKIT TINGGI,PT. SUMATERA INTI SELULER,SUMBAGTENG ,SUMATERA BARAT,"Batusangkar, Kab. Tanah Datar",,,,82169998080,pipin.telesindo@gmail.com,100.57723,-0.461617,,
,Kota Padang Panjang,Jl. Prof. M. Yamin No 157 Kel. Silaing Atas Kel.Silaing Kec.  Padang panjang Barat,BUKIT TINGGI,PT. SUMATERA INTI SELULER,SUMBAGTENG ,SUMATERA BARAT,Kota Padang Panjang,,,,82169998080,pipin.telesindo@gmail.com,100.39704,-4.6013,,
,BATAM,Ruko Nagoya Hill Blok R3 No.J36-J37 Nagoya,GREATER BATAM,PT. GOLDEN COMMUNICATION,SUMBAGTENG ,KEPULAUAN RIAU,BATAM,,,,81364115553,qarindra_putra@yahoo.com,104.01421,1.145718,,
,BATAM,Ruko Botania tahap 2 Blok B6 No.C1 Batam Center,GREATER BATAM,PT. GOLDEN COMMUNICATION,SUMBAGTENG ,KEPULAUAN RIAU,BATAM,,,,81364115553,qarindra_putra@yahoo.com,104.088467,1.106557,,
,Karimun,Jl. A Yani Kolong No. 61 Tanjung Balai Karimun,GREATER BATAM,PT. GOLDEN COMMUNICATION,SUMBAGTENG ,KEPULAUAN RIAU,Karimun,,,,81364115553,qarindra_putra@yahoo.com,103.419097,0.997876,,
,meranti,Jl Imam Bonjol Kelurahan Selat Panjang,GREATER BATAM,PT. GOLDEN COMMUNICATION,SUMBAGTENG ,KEPULAUAN RIAU,meranti,,,,81364115553,qarindra_putra@yahoo.com,102.70507,1.0048261,,
